# time totalContactTime
542.6000 68355.0000
543.6000 68481.0000
544.6000 68607.0000
545.6000 68733.0000
546.6000 68859.0000
547.6000 68985.0000
548.6000 69111.0000
549.6000 69237.0000
550.6000 69363.0000
551.6000 69489.0000
552.6000 69615.0000
553.6000 69741.0000
554.6000 69867.0000
555.6000 69993.0000
556.6000 70119.0000
557.6000 70245.0000
558.6000 70371.0000
559.6000 70497.0000
560.6000 70623.0000
561.6000 70749.0000
562.6000 70875.0000
563.6000 71001.0000
564.6000 71127.0000
565.6000 71253.0000
566.6000 71379.0000
567.6000 71505.0000
568.6000 71631.0000
569.6000 71757.0000
570.6000 71883.0000
571.6000 72009.0000
572.6000 72135.0000
573.6000 72261.0000
574.6000 72387.0000
575.6000 72513.0000
576.6000 72639.0000
577.6000 72765.0000
578.6000 72891.0000
579.6000 73017.0000
580.6000 73143.0000
581.6000 73269.0000
582.6000 73395.0000
583.6000 73521.0000
584.6000 73647.0000
585.6000 73773.0000
586.6000 73899.0000
587.6000 74025.0000
588.6000 74151.0000
589.6000 74277.0000
590.6000 74403.0000
591.6000 74529.0000
592.6000 74655.0000
593.6000 74781.0000
594.6000 74907.0000
595.6000 75033.0000
596.6000 75159.0000
597.6000 75285.0000
598.6000 75411.0000
599.6000 75537.0000
600.6000 75663.0000
601.6000 75789.0000
602.6000 75915.0000
603.6000 76041.0000
604.6000 76167.0000
605.6000 76293.0000
606.6000 76419.0000
607.6000 76545.0000
608.6000 76671.0000
609.6000 76797.0000
610.6000 76923.0000
611.6000 77049.0000
612.6000 77175.0000
613.6000 77301.0000
614.6000 77427.0000
615.6000 77553.0000
616.6000 77679.0000
617.6000 77805.0000
618.6000 77931.0000
619.6000 78057.0000
620.6000 78183.0000
621.6000 78309.0000
622.6000 78435.0000
623.6000 78561.0000
624.6000 78687.0000
625.6000 78813.0000
626.6000 78939.0000
627.6000 79065.0000
628.6000 79191.0000
629.6000 79317.0000
630.6000 79443.0000
631.6000 79569.0000
632.6000 79695.0000
633.6000 79821.0000
634.6000 79947.0000
635.6000 80073.0000
636.6000 80199.0000
637.6000 80325.0000
638.6000 80451.0000
639.6000 80577.0000
640.6000 80703.0000
641.6000 80829.0000
642.6000 80955.0000
643.6000 81081.0000
644.6000 81207.0000
645.6000 81333.0000
646.6000 81459.0000
647.6000 81585.0000
648.6000 81711.0000
649.6000 81837.0000
650.6000 81963.0000
651.6000 82089.0000
652.6000 82215.0000
653.6000 82341.0000
654.6000 82467.0000
655.6000 82593.0000
656.6000 82719.0000
657.6000 82845.0000
658.6000 82971.0000
659.6000 83097.0000
660.6000 83223.0000
661.6000 83349.0000
662.6000 83475.0000
663.6000 83601.0000
664.6000 83727.0000
665.6000 83853.0000
666.6000 83979.0000
667.6000 84105.0000
668.6000 84231.0000
669.6000 84357.0000
670.6000 84483.0000
671.6000 84609.0000
672.6000 84735.0000
673.6000 84861.0000
674.6000 84987.0000
675.6000 85113.0000
676.6000 85239.0000
677.6000 85365.0000
678.6000 85491.0000
679.6000 85617.0000
680.6000 85743.0000
681.6000 85869.0000
682.6000 85995.0000
683.6000 86121.0000
684.6000 86247.0000
685.6000 86373.0000
686.6000 86499.0000
687.6000 86625.0000
688.6000 86751.0000
689.6000 86877.0000
690.6000 87003.0000
691.6000 87129.0000
692.6000 87255.0000
693.6000 87381.0000
694.6000 87507.0000
695.6000 87633.0000
696.6000 87759.0000
697.6000 87885.0000
698.6000 88011.0000
699.6000 88137.0000
700.6000 88263.0000
701.6000 88389.0000
702.6000 88515.0000
703.6000 88641.0000
704.6000 88767.0000
705.6000 88893.0000
706.6000 89019.0000
707.6000 89145.0000
708.6000 89271.0000
709.6000 89397.0000
710.6000 89523.0000
711.6000 89649.0000
712.6000 89775.0000
713.6000 89901.0000
714.6000 90027.0000
715.6000 90153.0000
716.6000 90279.0000
717.6000 90405.0000
718.6000 90531.0000
719.6000 90657.0000
720.6000 90783.0000
721.6000 90909.0000
722.6000 91035.0000
723.6000 91161.0000
724.6000 91287.0000
725.6000 91413.0000
726.6000 91539.0000
727.6000 91665.0000
728.6000 91791.0000
729.6000 91917.0000
730.6000 92043.0000
731.6000 92169.0000
732.6000 92295.0000
733.6000 92421.0000
734.6000 92547.0000
735.6000 92673.0000
736.6000 92799.0000
